y_true,y_pred,race,gender
0,1,B,male
1,1,A,female
0,1,A,male
1,1,B,female
1,1,A,female
0,0,A,female
0,1,B,female
0,0,A,male
0,0,A,male
1,0,B,female
0,0,A,female
0,0,A,female
0,0,B,female
0,0,A,male
1,1,A,male
1,1,B,male
0,0,A,male
1,1,A,female
0,0,B,male
0,1,A,male
0,0,A,female
0,0,B,female
1,1,A,male
1,1,A,female
0,0,B,female
1,0,A,male
1,1,A,female
1,0,B,female
1,1,A,female
0,1,A,male
1,0,B,female
1,1,A,male
0,0,A,female
0,1,B,female
0,0,A,male
0,1,A,male
1,0,B,female
1,1,A,male
0,0,A,male
0,0,B,male
0,0,A,female
0,1,A,male
1,0,B,female
0,0,A,male
0,0,A,male
1,1,B,female
0,1,A,male
0,0,A,female
1,1,B,female
0,0,A,male
0,0,A,male
0,0,B,male
1,1,A,male
1,1,A,female
1,0,B,female
1,1,A,female
1,1,A,female
0,0,B,female
0,1,A,male
1,1,A,male
0,0,B,female
1,1,A,male
0,0,A,male
1,1,B,male
1,0,A,male
0,0,A,male
0,0,B,female
0,0,A,male
1,1,A,male
1,1,B,female
1,1,A,male
1,0,A,female
0,0,B,male
1,0,A,female
0,0,A,male
0,0,B,female
1,0,A,male
1,1,A,female
1,1,B,female
1,1,A,female
1,1,A,female
0,0,B,female
1,1,A,female
1,1,A,female
1,1,B,female
0,1,A,male
1,0,A,female
0,0,B,male
0,0,A,female
0,0,A,male
0,0,B,female
0,1,A,male
1,1,A,male
0,0,B,male
0,0,A,male
0,0,A,male
1,1,B,male
0,0,A,male
0,0,A,male
1,1,B,female
0,0,A,female
0,1,A,male
1,0,B,female
0,0,A,male
1,1,A,female
0,0,B,female
1,0,A,female
0,0,A,female
1,0,B,male
0,0,A,female
0,0,A,female
1,0,B,female
1,1,A,male
1,1,A,male
1,1,B,male
0,0,A,male
0,0,A,female
0,0,B,male
0,1,A,female
1,1,A,male
0,0,B,female
0,0,A,female
1,1,A,male
0,0,B,female
0,0,A,male
1,1,A,male
1,0,B,female
1,1,A,male
1,1,A,male
1,0,B,female
0,0,A,male
0,1,A,male
1,0,B,female
1,1,A,male
1,0,A,female
1,1,B,female
0,0,A,female
0,0,A,male
1,1,B,male
1,1,A,male
1,1,A,male
0,0,B,male
0,1,A,female
0,1,A,male
1,0,B,female
1,1,A,female
1,1,A,female
0,0,B,female
0,0,A,female
0,0,A,female
0,0,B,male
1,1,A,female
0,0,A,female
1,1,B,male
1,1,A,female
1,1,A,female
0,1,B,male
0,0,A,male
1,0,A,female
0,0,B,female
1,1,A,male
0,0,A,female
1,0,B,female
0,0,A,male
1,1,A,male
0,0,B,male
1,1,A,female
1,1,A,female
1,0,B,male
1,1,A,male
1,1,A,female
1,0,B,female
1,1,A,male
0,0,A,male
0,0,B,female
0,0,A,male
1,1,A,male
0,0,B,male
0,0,A,male
0,0,A,male
0,0,B,male
1,1,A,female
0,0,A,female
1,0,B,female
1,1,A,female
0,1,A,female
0,0,B,male
1,1,A,male
0,0,A,male
0,0,B,female
0,0,A,female
0,0,A,female
0,0,B,male
0,0,A,female
0,1,A,female
1,1,B,female
1,1,A,female
1,1,A,female
1,0,B,female
1,1,A,female
1,1,A,male
0,0,B,female
1,1,A,male
1,1,A,male
0,0,B,female
1,1,A,male
0,0,A,male
1,1,B,male
0,0,A,male
1,1,A,female
0,0,B,male
1,1,A,male
1,1,A,female
1,0,B,female
0,1,A,female
1,1,A,female
1,1,B,male
1,0,A,male
0,0,A,male
0,1,B,male
0,0,A,female
1,1,A,female
0,0,B,female
1,1,A,female
0,0,A,female
0,0,B,female
1,1,A,female
1,1,A,male
1,1,B,female
1,1,A,female
0,0,A,female
0,0,B,female
0,0,A,male
0,0,A,female
0,1,B,male
1,1,A,female
1,1,A,female
0,0,B,female
1,1,A,male
1,1,A,male
1,0,B,female
0,0,A,female
0,0,A,male
0,0,B,female
0,1,A,female
0,0,A,male
1,1,B,female
0,0,A,female
1,0,A,female
0,0,B,male
1,0,A,male
0,0,A,female
0,0,B,male
1,1,A,female
0,0,A,female
0,0,B,female
1,0,A,female
1,1,A,female
0,1,B,female
0,0,A,male
0,0,A,female
0,0,B,female
0,0,A,female
1,0,A,female
0,0,B,male
0,0,A,female
0,0,A,male
1,0,B,female
1,1,A,female
1,1,A,female
1,1,B,male
0,0,A,male
0,1,A,female
0,0,B,male
0,0,A,female
1,1,A,female
0,0,B,female
1,1,A,male
0,0,A,female
1,1,B,female
1,1,A,female
0,0,A,female
1,1,B,female
0,0,A,male
1,1,A,female
0,0,B,male
1,1,A,female
1,1,A,female
1,0,B,male
1,1,A,female
0,0,A,male
1,0,B,female
1,0,A,male
1,1,A,male
1,0,B,female
0,1,A,male
1,1,A,female
1,1,B,female
1,1,A,male
1,1,A,female
